History
"[(4, 10, False), 1, (9, 10, False), 1, (11, 10, False), 1, (14, 10, False), 1, (17, 10, False), 1, (27, 10, False)]"
"[(13, 10, True), 1, (16, 10, True), 1, (16, 10, False), 1, (17, 10, False), 1, (19, 10, False), 1, (22, 10, False)]"
"[(12, 10, True), 1, (16, 10, True), 1, (18, 10, True), 1, (12, 10, False), 1, (14, 10, False), 1, (24, 10, False)]"
"[(17, 10, True), 1, (18, 10, True), 1, (12, 10, False), 1, (17, 10, False), 1, (19, 10, False), 1, (26, 10, False)]"
"[(15, 10, True), 1, (17, 10, True), 1, (14, 10, False), 1, (16, 10, False), 1, (19, 10, False), 1, (29, 10, False)]"
"[(4, 10, False), 1, (6, 10, False), 1, (8, 10, False), 1, (15, 10, False), 1, (19, 10, False), 1, (23, 10, False)]"
"[(5, 10, False), 1, (8, 10, False), 1, (12, 10, False), 1, (15, 10, False), 1, (16, 10, False), 1, (23, 10, False)]"
"[(12, 10, True), 1, (14, 10, True), 1, (12, 10, False), 1, (14, 10, False), 1, (19, 10, False), 1, (23, 10, False)]"
"[(17, 10, True), 1, (18, 10, True), 1, (13, 10, False), 1, (17, 10, False), 1, (19, 10, False), 1, (28, 10, False)]"
"[(6, 1, False), 1, (11, 1, False), 1, (13, 1, False), 1, (14, 1, False), 1, (18, 1, False), 1, (27, 1, False)]"
"[(6, 10, False), 1, (17, 10, True), 1, (18, 10, True), 1, (13, 10, False), 1, (16, 10, False), 1, (22, 10, False)]"
"[(5, 10, False), 1, (7, 10, False), 1, (14, 10, False), 1, (16, 10, False), 1, (17, 10, False), 1, (27, 10, False)]"
"[(11, 10, False), 1, (14, 10, False), 1, (15, 10, False), 1, (16, 10, False), 1, (19, 10, False), 1, (29, 10, False)]"
"[(13, 10, True), 1, (16, 10, True), 1, (18, 10, True), 1, (13, 10, False), 1, (16, 10, False), 1, (24, 10, False)]"
"[(14, 8, True), 1, (16, 8, True), 1, (13, 8, False), 1, (15, 8, False), 1, (17, 8, False), 1, (25, 8, False)]"
"[(4, 10, False), 1, (14, 10, False), 1, (16, 10, False), 1, (17, 10, False), 1, (19, 10, False), 1, (26, 10, False)]"
"[(5, 10, False), 1, (13, 10, False), 1, (14, 10, False), 1, (15, 10, False), 1, (19, 10, False), 1, (24, 10, False)]"
"[(4, 5, False), 1, (15, 5, True), 1, (16, 5, True), 1, (14, 5, False), 1, (16, 5, False), 1, (22, 5, False)]"
"[(14, 7, True), 1, (15, 7, True), 1, (16, 7, True), 1, (17, 7, True), 1, (16, 7, False), 1, (22, 7, False)]"
"[(12, 10, False), 1, (13, 10, False), 1, (14, 10, False), 1, (17, 10, False), 1, (19, 10, False), 1, (29, 10, False)]"
"[(5, 1, False), 1, (12, 1, False), 1, (14, 1, False), 1, (15, 1, False), 1, (16, 1, False), 1, (26, 1, False)]"
"[(15, 2, True), 1, (12, 2, False), 1, (13, 2, False), 1, (14, 2, False), 1, (15, 2, False), 1, (24, 2, False)]"
"[(12, 10, True), 1, (15, 10, True), 1, (16, 10, True), 1, (13, 10, False), 1, (17, 10, False), 1, (27, 10, False)]"
"[(8, 3, False), 1, (10, 3, False), 1, (13, 3, False), 1, (15, 3, False), 1, (17, 3, False), 1, (27, 3, False)]"
"[(7, 9, False), 1, (13, 9, False), 1, (14, 9, False), 1, (16, 9, False), 1, (17, 9, False), 1, (24, 9, False)]"
"[(15, 10, True), 1, (17, 10, True), 1, (18, 10, True), 1, (12, 10, False), 1, (16, 10, False), 1, (23, 10, False)]"
"[(5, 10, False), 1, (9, 10, False), 1, (11, 10, False), 1, (14, 10, False), 1, (17, 10, False), 1, (27, 10, False)]"
"[(15, 10, True), 1, (17, 10, True), 1, (18, 10, True), 1, (12, 10, False), 1, (19, 10, False), 1, (29, 10, False)]"
"[(7, 3, False), 1, (10, 3, False), 1, (13, 3, False), 1, (15, 3, False), 1, (17, 3, False), 1, (24, 3, False)]"
"[(15, 10, True), 1, (18, 10, True), 1, (13, 10, False), 1, (17, 10, False), 1, (19, 10, False), 1, (26, 10, False)]"
"[(6, 2, False), 1, (8, 2, False), 1, (10, 2, False), 1, (13, 2, False), 1, (17, 2, False), 1, (27, 2, False)]"
"[(7, 1, False), 1, (12, 1, False), 1, (13, 1, False), 1, (15, 1, False), 1, (18, 1, False), 1, (22, 1, False)]"
"[(14, 10, True), 1, (15, 10, True), 1, (13, 10, False), 1, (16, 10, False), 1, (17, 10, False), 1, (27, 10, False)]"
"[(15, 10, True), 1, (16, 10, True), 1, (16, 10, False), 1, (17, 10, False), 1, (19, 10, False), 1, (28, 10, False)]"
"[(12, 10, True), 1, (14, 10, True), 1, (15, 10, True), 1, (16, 10, True), 1, (13, 10, False), 1, (23, 10, False)]"
"[(5, 10, False), 1, (16, 10, True), 1, (13, 10, False), 1, (14, 10, False), 1, (19, 10, False), 1, (22, 10, False)]"
"[(12, 10, True), 1, (17, 10, True), 1, (18, 10, True), 1, (12, 10, False), 1, (17, 10, False), 1, (23, 10, False)]"
"[(6, 10, False), 1, (10, 10, False), 1, (12, 10, False), 1, (15, 10, False), 1, (16, 10, False), 1, (22, 10, False)]"
"[(8, 1, False), 1, (12, 1, False), 1, (14, 1, False), 1, (15, 1, False), 1, (18, 1, False), 1, (28, 1, False)]"
"[(10, 1, False), 1, (14, 1, False), 1, (15, 1, False), 1, (17, 1, False), 1, (18, 1, False), 1, (28, 1, False)]"
"[(9, 10, False), 1, (12, 10, False), 1, (13, 10, False), 1, (14, 10, False), 1, (19, 10, False), 1, (29, 10, False)]"
