History,exh,time of exh,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,transition_1,time of transition_1,transition_2,time of transition_2,transition_3,time of transition_3,transition_4,time of transition_4,exh -- last_1,exh -- last_2,exh -- last_3,exh -- last_4,exh -- transition_1,exh -- transition_2,exh -- transition_3,exh -- transition_4
"[(4, 10, False), 1, (9, 10, False), 1, (11, 10, False), 1, (14, 10, False), 1, (17, 10, False), 1, (27, 10, False)]","[-0.09646, -0.0671, -0.30088, -0.0096, 0.19216]",0.7271291010000027,"[-0.09116, -0.06662, -0.30065, -0.0096, 0.19216]",0.3122826489999966,"[-0.06691, -0.06233, -0.29801, -0.00932, 0.19216]",0.15322727800003122,"[-0.00082, -0.03364, -0.27667, -0.00354, 0.19216]",0.08872597200002019,"[0.04976, 0.04976, -0.18101, 0.04976, 0.20309]",0.0776752300000112,"[0.04976, 0.04976, -0.18101, 0.04976, 0.20309]",0.06550056099996482,"[0.0095, 0.04759, -0.19699, 0.04976, 0.17804]",0.07320571600001813,"[-0.0619, -0.02192, -0.27266, -0.01145, 0.18639]",0.08026664199996958,"[-0.06669, 0.02255, -0.2711, -0.00603, 0.20309]",0.09187259500004075,0.9940446137824654,0.9663794947242014,0.8833304404525328,0.7424916520770637,0.7424916520770637,0.7794965028621995,0.9286845931793136,0.888518871552177
"[(13, 10, True), 1, (16, 10, True), 1, (16, 10, False), 1, (17, 10, False), 1, (19, 10, False), 1, (22, 10, False)]","[-0.22818, -0.17029, 0.02387, 0.19216, 0.55129]",0.5740664620000189,"[-0.22378, -0.16938, 0.02387, 0.19216, 0.55129]",0.23752951000000166,"[-0.20367, -0.16257, 0.02387, 0.19216, 0.55129]",0.12060253300001023,"[-0.13336, -0.12105, 0.02471, 0.19216, 0.55129]",0.07420369699997309,"[-0.00358, -0.00358, 0.04976, 0.20309, 0.55129]",0.06295106800001804,"[-0.00358, -0.00358, 0.04976, 0.20309, 0.55129]",0.0619050959999754,"[-0.12354, -0.1379, 0.04976, 0.1735, 0.55129]",0.06554042600004095,"[-0.24742, -0.06422, 0.01636, 0.18639, 0.55129]",0.0794163870000375,"[-0.15339, -0.22643, 0.02698, 0.19056, 0.55129]",0.0842177249999736,0.9949765425253119,0.9712698220506729,0.880542289909776,0.6857008966366591,0.6857008966366591,0.8724405560140684,0.8790107675245438,0.8953728297716124
"[(12, 10, True), 1, (16, 10, True), 1, (18, 10, True), 1, (12, 10, False), 1, (14, 10, False), 1, (24, 10, False)]","[-0.24855, -0.17029, 0.06952, -0.04842, -0.0096]",0.7808814109999958,"[-0.24183, -0.16938, 0.06975, -0.04833, -0.0096]",0.3184297509999965,"[-0.21583, -0.16257, 0.07239, -0.04685, -0.00932]",0.14532047400001602,"[-0.13746, -0.12105, 0.09373, -0.03178, -0.00354]",0.08803704000001744,"[-0.00358, -0.00358, 0.17847, 0.04976, 0.04976]",0.06719826500000181,"[-0.00358, -0.00358, 0.17847, 0.04976, 0.04976]",0.07159973300002775,"[-0.11719, -0.04591, 0.14148, -0.01905, 0.04976]",0.07051016899998785,"[-0.19769, -0.13115, 0.10064, -0.0517, -0.0016]",0.08087277900000345,"[-0.21405, -0.09311, 0.06416, -0.01309, -0.00437]",0.09228928699997141,0.9924132104945504,0.9622346554364984,0.8600656269889346,0.6244411672254266,0.6244411672254266,0.7700807693449719,0.919673385481523,0.8972181083556058
"[(17, 10, True), 1, (18, 10, True), 1, (12, 10, False), 1, (17, 10, False), 1, (19, 10, False), 1, (26, 10, False)]","[0.00124, 0.06952, -0.04842, 0.19216, 0.55129]",0.19353351399996654,"[0.00172, 0.06975, -0.04833, 0.19216, 0.55129]",0.1521625000000313,"[0.006, 0.07239, -0.04685, 0.19216, 0.55129]",0.10175746900000604,"[0.03638, 0.09373, -0.03178, 0.19216, 0.55129]",0.08024772599998187,"[0.14975, 0.17847, 0.04976, 0.20309, 0.55129]",0.06354321899999604,"[0.14975, 0.17847, 0.04976, 0.20309, 0.55129]",0.06827620799998613,"[0.06585, 0.1445, -0.02085, 0.20309, 0.55129]",0.06835375299999669,"[0.05324, 0.1032, -0.02845, 0.18336, 0.55129]",0.07772212800000489,"[0.04216, 0.06832, -0.01949, 0.17577, 0.55129]",0.07685885899996947,0.9993964687249197,0.9935425043554021,0.9487916840249555,0.7663226051262125,0.7663226051262125,0.8844793184100787,0.9265613921360161,0.941035355932559
"[(15, 10, True), 1, (17, 10, True), 1, (14, 10, False), 1, (16, 10, False), 1, (19, 10, False), 1, (29, 10, False)]","[-0.18904, 0.00124, -0.0096, 0.02387, 0.55129]",0.31628698100001884,"[-0.18743, 0.00172, -0.0096, 0.02387, 0.55129]",0.18022154900000942,"[-0.17704, 0.006, -0.00932, 0.02387, 0.55129]",0.11172018000002026,"[-0.12516, 0.03638, -0.00354, 0.02471, 0.55129]",0.07733807799996839,"[-0.00358, 0.14975, 0.04976, 0.04976, 0.55129]",0.06667199899999332,"[-0.00358, 0.14975, 0.04976, 0.04976, 0.55129]",0.06558058000001665,"[-0.11655, 0.0724, 0.03378, 0.04976, 0.55129]",0.06432673799997701,"[-0.15516, -0.01781, 0.01938, -0.00337, 0.55129]",0.06758365899997898,"[-0.16758, 0.01614, -0.00562, 0.04177, 0.55129]",0.07524341800001366,0.9981216696243738,0.9855632413610257,0.9182006784869214,0.7246717109521799,0.7246717109521799,0.873160228043409,0.9378246944116878,0.9643140083506146
"[(4, 10, False), 1, (6, 10, False), 1, (8, 10, False), 1, (15, 10, False), 1, (19, 10, False), 1, (23, 10, False)]","[-0.09646, -0.07285, -0.17462, 0.00775, 0.55129]",0.93415827299998,"[-0.09116, -0.07067, -0.17388, 0.00775, 0.55129]",0.3967191549999711,"[-0.06691, -0.05723, -0.16796, 0.00782, 0.55129]",0.16587913300003265,"[-0.00082, -0.00082, -0.1319, 0.01059, 0.55129]",0.08143368100002135,"[0.04976, 0.04976, -0.12819, 0.04976, 0.55129]",0.06328991399999495,"[0.04976, 0.04976, -0.12819, 0.04976, 0.55129]",0.06421532000001662,"[0.02007, 0.0464, -0.197, 0.04976, 0.55129]",0.0699638430000391,"[-0.13691, -0.01167, -0.185, 0.03003, 0.55129]",0.08475846899995076,"[-0.03818, -0.09726, -0.1862, 0.02471, 0.55129]",0.10353329100001929,0.9935395433597926,0.9618957449882563,0.8578363860722442,0.7754613465903921,0.7754613465903921,0.8061395221428566,0.9135177930149792,0.9257189080249892
"[(5, 10, False), 1, (8, 10, False), 1, (12, 10, False), 1, (15, 10, False), 1, (16, 10, False), 1, (23, 10, False)]","[-0.08455, -0.17462, -0.04842, 0.00775, 0.02387]",0.5528400409999676,"[-0.08109, -0.17388, -0.04833, 0.00775, 0.02387]",0.26639529400000583,"[-0.06245, -0.16796, -0.04685, 0.00782, 0.02387]",0.1346242579999739,"[-0.00082, -0.1319, -0.03178, 0.01059, 0.02471]",0.07859652899998082,"[0.04976, -0.12819, 0.04976, 0.04976, 0.04976]",0.062484210999969036,"[0.04976, -0.12819, 0.04976, 0.04976, 0.04976]",0.06700784800000292,"[0.03973, -0.10989, -0.00488, 0.02471, 0.02017]",0.06617931400000998,"[-0.07272, -0.18122, -0.0269, 0.00268, 0.03003]",0.07610803000000033,"[-0.18026, -0.1386, -0.05741, 0.00707, 0.02471]",0.08473657799999046,0.9960428387700272,0.9741341102994697,0.8932211859730592,0.7991599965146385,0.7991599965146385,0.8348010498671374,0.9702034020398301,0.8852185086784459
"[(12, 10, True), 1, (14, 10, True), 1, (12, 10, False), 1, (14, 10, False), 1, (19, 10, False), 1, (23, 10, False)]","[-0.24855, -0.20834, -0.04842, -0.0096, 0.55129]",0.9005929329999844,"[-0.24183, -0.2056, -0.04833, -0.0096, 0.55129]",0.331837194000002,"[-0.21583, -0.19074, -0.04685, -0.00932, 0.55129]",0.1383784220000166,"[-0.13746, -0.12926, -0.03178, -0.00354, 0.55129]",0.08198326199999428,"[-0.00358, -0.00358, 0.04976, 0.04976, 0.55129]",0.06580721599999606,"[-0.00358, -0.00358, 0.04976, 0.04976, 0.55129]",0.06167971300004638,"[-0.08695, -0.11644, 0.02017, -0.00034, 0.55129]",0.06564453099997536,"[-0.1568, -0.13744, -0.04952, 0.00268, 0.55129]",0.07527590900002679,"[-0.16018, -0.22063, -0.06101, 0.00734, 0.55129]",0.10105075299998134,0.9918856531378059,0.9584232381612036,0.8462622049559706,0.620691615403772,0.620691615403772,0.7782160237415696,0.8696309042564151,0.8974952885229172
"[(17, 10, True), 1, (18, 10, True), 1, (13, 10, False), 1, (17, 10, False), 1, (19, 10, False), 1, (28, 10, False)]","[0.00124, 0.06952, -0.02829, 0.19216, 0.55129]",0.18166191199998138,"[0.00172, 0.06975, -0.02826, 0.19216, 0.55129]",0.15217852000000676,"[0.006, 0.07239, -0.02754, 0.19216, 0.55129]",0.0973608909999939,"[0.03638, 0.09373, -0.01766, 0.19216, 0.55129]",0.07152558399997133,"[0.14975, 0.17847, 0.04976, 0.20309, 0.55129]",0.06402116499998556,"[0.14975, 0.17847, 0.04976, 0.20309, 0.55129]",0.06624079900001334,"[0.06323, 0.10966, 0.04976, 0.20309, 0.55129]",0.06318476600000622,"[-0.00594, 0.05517, -0.00941, 0.20309, 0.55129]",0.06776268400000163,"[0.07465, 0.10396, -0.02299, 0.18829, 0.55129]",0.08210277699998869,0.9994039714771926,0.9937293341661352,0.9508326759930947,0.7760117469598015,0.7760117469598015,0.8792458742940846,0.9697222400101989,0.9090452818705923
"[(6, 1, False), 1, (11, 1, False), 1, (13, 1, False), 1, (14, 1, False), 1, (18, 1, False), 1, (27, 1, False)]","[-0.10069, -0.33559, -0.0597, -0.03954, 0.33867]",14.015599645999998,"[-0.09786, -0.33532, -0.05967, -0.03953, 0.33867]",5.654037143999972,"[-0.08107, -0.33222, -0.05878, -0.03917, 0.33867]",2.0606446159999905,"[-0.01726, -0.308, -0.04725, -0.03226, 0.33867]",0.5690616119999845,"[0.02771, -0.20306, 0.02771, 0.02771, 0.33867]",0.17333660299999565,"[0.02771, -0.20306, 0.02771, 0.02771, 0.33867]",0.17487384700001485,"[-0.08225, -0.27802, -0.03345, -0.00187, 0.33867]",0.25049760899997864,"[0.02135, -0.3188, -0.00673, -0.01336, 0.33867]",0.40345611299994744,"[-0.00064, -0.28864, -0.02942, -0.0183, 0.33867]",0.7588642869999944,0.996821399679104,0.977715347209346,0.90043988059971,0.7596517331558224,0.7596517331558224,0.9151292902409789,0.8472466080573005,0.8697007242921129
