History,exh,time of exh,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,transition_1,time of transition_1,transition_2,time of transition_2,transition_3,time of transition_3,transition_4,time of transition_4,exh -- last_1,exh -- last_2,exh -- last_3,exh -- last_4,exh -- transition_1,exh -- transition_2,exh -- transition_3,exh -- transition_4
"[(8, 8, False), 1, (11, 8, False), 1, (13, 8, False), 1, (16, 8, False), 1, (21, 8, False), 0, (21, 8, False)]","[0.09518, 0.24415, -0.01789, -0.07864, 0.92452]",0.43250335800257744,"[0.09471, 0.24402, -0.0179, -0.07864, 0.92452]",0.31168100200011395,"[0.08955, 0.24196, -0.01831, -0.07864, 0.92452]",0.206613305999781,"[0.05336, 0.22185, -0.02635, -0.07864, 0.92452]",0.11038620900217211,"[0.01888, 0.11729, -0.09606, -0.09606, 0.92452]",0.07930457399925217,"[0.01888, 0.11729, -0.09606, -0.09606, 0.92452]",0.0967544379964238,"[0.05323, 0.16341, -0.04878, -0.07094, 0.92452]",0.08372872499603545,"[0.05337, 0.23474, -0.04707, -0.09606, 0.92452]",0.08926219100249,"[0.08583, 0.21385, -0.02431, -0.0887, 0.92452]",0.10447691699664574,0.9994546789936194,0.9932297156632827,0.9461741929925802,0.8118207141447285,0.8118207141447285,0.8922257440294761,0.9388490290346915,0.9621197198400012
"[(11, 10, False), 1, (15, 10, False), 1, (16, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]","[0.20746, -0.05089, -0.06393, -0.07603, 0.84667]",0.11692886999662733,"[0.20728, -0.05089, -0.06393, -0.07603, 0.84667]",0.10123285200097598,"[0.20512, -0.05095, -0.06393, -0.07603, 0.84667]",0.08408084799884818,"[0.18776, -0.05323, -0.06463, -0.07603, 0.84667]",0.07291826500295429,"[0.11024, -0.08514, -0.08514, -0.08514, 0.84667]",0.06899348099977942,"[0.11024, -0.08514, -0.08514, -0.08514, 0.84667]",0.06623600099555915,"[0.17632, -0.06463, -0.06463, -0.08514, 0.84667]",0.07136043900391087,"[0.20735, -0.06384, -0.07751, -0.08514, 0.84667]",0.0678928640045342,"[0.187, -0.05844, -0.07488, -0.08514, 0.84667]",0.07426307200512383,0.999798753882025,0.9973829405814922,0.9778060931785321,0.8819023333211023,0.8819023333211023,0.9605987103637457,0.9766782531743439,0.9708772275529955
"[(12, 6, True), 1, (16, 6, True), 1, (14, 6, False), 1, (15, 6, False), 1, (20, 6, False), 0, (20, 6, False)]","[0.1055, 0.04427, -0.10546, -0.12736, 0.73564]",0.8074016099999426,"[0.1051, 0.04422, -0.10546, -0.12736, 0.73564]",0.5420458309963578,"[0.09905, 0.04302, -0.10546, -0.12736, 0.73564]",0.31335274299635785,"[0.05318, 0.02719, -0.10702, -0.12736, 0.73564]",0.16194774999894435,"[-0.0843, -0.116, -0.1477, -0.1477, 0.73564]",0.09300229899963597,"[-0.0843, -0.116, -0.1477, -0.1477, 0.73564]",0.09814233500219416,"[0.02807, -0.03546, -0.10873, -0.1477, 0.73564]",0.10600070899818093,"[0.00991, 0.03321, -0.12918, -0.13374, 0.73564]",0.12472327399882488,"[0.05078, -0.01487, -0.11169, -0.13723, 0.73564]",0.15910558099858463,0.999549306090567,0.9926545081852881,0.9384416699381798,0.7173596673774247,0.7173596673774247,0.8736241404579181,0.8889644510753425,0.90897769641456
"[(14, 8, True), 1, (15, 8, True), 1, (15, 8, False), 1, (16, 8, False), 1, (20, 8, False), 0, (20, 8, False)]","[0.13464, 0.11639, -0.05987, -0.07864, 0.77793]",1.2130628469967633,"[0.13268, 0.11529, -0.05987, -0.07864, 0.77793]",0.5484937750006793,"[0.11835, 0.10587, -0.05987, -0.07864, 0.77793]",0.22114155100280186,"[0.04874, 0.04874, -0.06121, -0.07864, 0.77793]",0.10266065399628133,"[-0.09606, -0.09606, -0.09606, -0.09606, 0.77793]",0.07318885399581632,"[-0.09606, -0.09606, -0.09606, -0.09606, 0.77793]",0.07099163600651082,"[-0.04075, 0.01262, -0.05102, -0.09606, 0.77793]",0.07946634799736785,"[0.03872, 0.10236, -0.06454, -0.08278, 0.77793]",0.09501502999773948,"[0.08002, 0.09298, -0.07437, -0.07873, 0.77793]",0.1179630639962852,0.9974871331113646,0.9783195220301766,0.8777444883655546,0.6464984706539447,0.6464984706539447,0.7711123531620808,0.8913927039743645,0.9316111248081971
"[(12, 8, True), 1, (12, 8, False), 1, (13, 8, False), 1, (17, 8, False), 1, (21, 8, False), 0, (21, 8, False)]","[0.17175, 0.00555, -0.01789, -0.09606, 0.92452]",1.6166433359976509,"[0.16647, 0.00551, -0.0179, -0.09606, 0.92452]",0.5370967030030442,"[0.13929, 0.00448, -0.01831, -0.09606, 0.92452]",0.2060118759982288,"[0.04874, -0.00893, -0.02635, -0.09606, 0.92452]",0.10447334000491537,"[-0.09606, -0.09606, -0.09606, -0.09606, 0.92452]",0.07855831200140528,"[-0.09606, -0.09606, -0.09606, -0.09606, 0.92452]",0.06729191500198795,"[0.04258, -0.06659, -0.0904, -0.09606, 0.92452]",0.07592400199791882,"[0.05977, -0.02959, 0.00047, -0.09606, 0.92452]",0.0910542589990655,"[0.15596, -0.0321, -0.08456, -0.09606, 0.92452]",0.12799029299640097,0.994096600555612,0.9636858687973952,0.8611984235500187,0.66804116011921,0.66804116011921,0.8157896290921708,0.8671870224714466,0.9125947977806812
"[(5, 5, False), 1, (9, 5, False), 1, (13, 5, False), 1, (14, 5, False), 1, (16, 5, False), 1, (21, 5, False)]","[-0.06369, 0.05336, -0.1291, -0.15212, -0.19336]",3.9368435130018042,"[-0.06509, 0.05321, -0.1291, -0.15212, -0.19336]",2.179736459002015,"[-0.07723, 0.05086, -0.12921, -0.15212, -0.19336]",0.9607690789998742,"[-0.1338, 0.02795, -0.1338, -0.15365, -0.19336]",0.3203745450009592,"[-0.19336, -0.03848, -0.19336, -0.19336, -0.19336]",0.12452133500482887,"[-0.19336, -0.03848, -0.19336, -0.19336, -0.19336]",0.13559830599842826,"[-0.14754, 0.03634, -0.16587, -0.18822, -0.19336]",0.1652127740017022,"[-0.11293, 0.01623, -0.15026, -0.16689, -0.19336]",0.22643174000404542,"[-0.11739, 0.04165, -0.15382, -0.17291, -0.19336]",0.29984470500494353,0.9984257938508568,0.9846054514518937,0.9164423021200321,0.8028992018661517,0.8028992018661517,0.888332268537415,0.9252578348587626,0.9287248588216059
"[(9, 5, False), 1, (13, 5, False), 1, (14, 5, False), 1, (16, 5, False), 1, (21, 5, False), 0, (21, 5, False)]","[0.05336, -0.1291, -0.15212, -0.19336, 0.89059]",0.759826317000261,"[0.05321, -0.1291, -0.15212, -0.19336, 0.89059]",0.5988643589953426,"[0.05086, -0.12921, -0.15212, -0.19336, 0.89059]",0.4005319720017724,"[0.02795, -0.1338, -0.15365, -0.19336, 0.89059]",0.23109016200032784,"[-0.03848, -0.19336, -0.19336, -0.19336, 0.89059]",0.11348968899983447,"[-0.03848, -0.19336, -0.19336, -0.19336, 0.89059]",0.117281662998721,"[-0.00202, -0.16473, -0.1569, -0.19336, 0.89059]",0.12976616899686633,"[0.01667, -0.15581, -0.16448, -0.19336, 0.89059]",0.162421169996378,"[0.01974, -0.13704, -0.13635, -0.19336, 0.89059]",0.18969693400140386,0.9998322949016876,0.9972022106941373,0.9710582697476464,0.86646783720766,0.86646783720766,0.926181898392061,0.9474125751723855,0.9575435384776357
"[(9, 8, False), 1, (12, 8, False), 1, (14, 8, False), 1, (17, 8, False), 1, (20, 8, False), 0, (20, 8, False)]","[0.15872, 0.00555, -0.03966, -0.09606, 0.77793]",0.2949256529973354,"[0.15842, 0.00551, -0.03966, -0.09606, 0.77793]",0.22053465099452296,"[0.15481, 0.00448, -0.03976, -0.09606, 0.77793]",0.1485380360027193,"[0.12666, -0.00893, -0.04378, -0.09606, 0.77793]",0.0994513050027308,"[0.05938, -0.09606, -0.09606, -0.09606, 0.77793]",0.0727834229983273,"[0.05938, -0.09606, -0.09606, -0.09606, 0.77793]",0.06855340500624152,"[0.10195, -0.02885, -0.06871, -0.09606, 0.77793]",0.07375586899433983,"[0.11131, -0.04033, -0.07176, -0.09606, 0.77793]",0.0785400969980401,"[0.12573, -0.02932, -0.06732, -0.09606, 0.77793]",0.09154479999415344,0.9996616215136862,0.9954663756220877,0.9604006250049322,0.8290687722357322,0.8290687722357322,0.9189900052462661,0.9179703369201117,0.9380591754171774
"[(9, 8, False), 1, (12, 8, False), 1, (15, 8, False), 1, (17, 8, False), 1, (20, 8, False), 0, (20, 8, False)]","[0.15872, 0.00555, -0.05987, -0.09606, 0.77793]",0.2950103620023583,"[0.15842, 0.00551, -0.05987, -0.09606, 0.77793]",0.21642815499944845,"[0.15481, 0.00448, -0.05987, -0.09606, 0.77793]",0.14349545299774036,"[0.12666, -0.00893, -0.06121, -0.09606, 0.77793]",0.10101762699923711,"[0.05938, -0.09606, -0.09606, -0.09606, 0.77793]",0.06959410999843385,"[0.05938, -0.09606, -0.09606, -0.09606, 0.77793]",0.07189368000399554,"[0.13106, -0.02885, -0.06871, -0.09606, 0.77793]",0.07162185000197496,"[0.11114, -0.03132, -0.06949, -0.09606, 0.77793]",0.0851207509986125,"[0.14116, -0.0327, -0.05986, -0.09606, 0.77793]",0.09318855900346534,0.9996616215136862,0.9954677544197165,0.9606409222669027,0.8360535765867397,0.8360535765867397,0.9496688317242685,0.9318476183468252,0.9529439669117763
"[(6, 10, False), 1, (13, 10, False), 1, (15, 10, False), 1, (16, 10, False), 1, (21, 10, False), 0, (21, 10, False)]","[0.01382, -0.02174, -0.05089, -0.06393, 0.84667]",0.33954552299837815,"[0.01206, -0.02177, -0.05089, -0.06393, 0.84667]",0.19140506300027482,"[0.00112, -0.02236, -0.05095, -0.06393, 0.84667]",0.1165538560017012,"[-0.04455, -0.03043, -0.05323, -0.06463, 0.84667]",0.07223642399912933,"[-0.08514, -0.08514, -0.08514, -0.08514, 0.84667]",0.06619848000264028,"[-0.08514, -0.08514, -0.08514, -0.08514, 0.84667]",0.061608666997926775,"[-0.07285, -0.06407, -0.08514, -0.08514, 0.84667]",0.06411323299835203,"[0.04498, -0.0621, -0.07147, -0.07147, 0.84667]",0.06916651700157672,"[-0.03257, -0.04969, -0.0518, -0.07942, 0.84667]",0.08160151899937773,0.9980319743395982,0.9857838999722146,0.933964606081284,0.8610954995329525,0.8610954995329525,0.8831323162717768,0.93794898066913,0.9370118781038838
